age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,1047,52.7455919395466,1,20.0,0.09551098376313276,938,47.2544080604534,4,80.0,0.42643923240938164,1986,0.8482865551279478,5,0.015454039685973912,0.25176233635448136
10-19,1799,50.3921568627451,0,0.0,0.0,1771,49.6078431372549,0,0.0,0.0,3570,1.5248655598221417,0,0.0,0.0
20-29,5826,43.99637516991391,11,73.33333333333333,0.18880878819086852,7416,56.00362483008608,4,26.666666666666668,0.05393743257820927,13250,5.659515032953327,15,0.04636211905792174,0.11320754716981132
30-39,8187,44.78420217712379,41,65.07936507936508,0.5007939416147551,10094,55.21579782287621,22,34.92063492063492,0.2179512581731722,18287,7.81098501189566,63,0.19472090004327133,0.3445070268496746
40-49,12722,41.790946718349645,203,72.75985663082437,1.595661059581827,17720,58.20905328165035,76,27.24014336917563,0.4288939051918736,30444,13.003643446281593,279,0.8623354144773443,0.9164367363027198
50-59,19454,46.281581576818766,869,76.69902912621359,4.466947671430041,22580,53.718418423181234,264,23.300970873786408,1.1691762621789195,42038,17.95582588341826,1133,3.5018853928416886,2.6951805509301106
60-69,18694,59.753875659261624,2528,76.4439068642274,13.523055525837165,12591,40.24612434073837,779,23.556093135772606,6.1869589389246284,31286,13.3632896091304,3307,10.221301848303147,10.570223102985361
70-79,19184,57.31186329280315,6071,69.96657831047597,31.646163469557965,14289,42.68813670719685,2606,30.033421689524033,18.2378053047799,33474,14.297857072685257,8677,26.81894047103913,25.921610802413813
80-89,16590,40.56929058763114,7431,56.1550668782589,44.79204339963834,24303,59.43070941236886,5802,43.8449331217411,23.873595852363906,40901,17.470175423609362,13233,40.90066143289856,32.35373218258722
>=90,3846,20.418347844552983,1868,33.114695975890804,48.56994279771191,14990,79.58165215544702,3773,66.8853040241092,25.170113408939294,18837,8.045908277414478,5641,17.43524757371577,29.946382120295162
unknown,19,42.22222222222222,1,100.0,5.263157894736842,26,57.77777777777777,0,0.0,0.0,46,0.019648127661573814,1,0.003090807937194783,2.1739130434782608
