age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,871,53.43558282208589,1,33.33333333333333,0.1148105625717566,759,46.56441717791411,2,66.66666666666666,0.2635046113306983,1642,0.7669205942934009,3,0.010731532820604543,0.18270401948842874
10-19,1454,50.086117809162936,0,0.0,0.0,1449,49.913882190837064,0,0.0,0.0,2908,1.3582247796621252,0,0.0,0.0
20-29,4961,43.56722578378853,6,66.66666666666666,0.12094335819391251,6426,56.43277421621147,3,33.33333333333333,0.04668534080298786,11457,5.35116275811175,9,0.03219459846181363,0.07855459544383347
30-39,7271,45.06911299820244,35,64.81481481481481,0.4813643240269564,8862,54.93088700179756,19,35.18518518518518,0.2143985556307831,16189,7.561313947025497,54,0.19316759077088178,0.3335598245722404
40-49,11590,42.14851989235581,184,74.79674796747967,1.5875754961173425,15908,57.85148010764419,62,25.203252032520325,0.38974101081217,27553,12.869039667823431,246,0.8799856912895726,0.8928247377781005
50-59,18047,47.06603379929063,778,78.3484390735146,4.310965811492215,20297,52.93396620070937,215,21.6515609264854,1.0592698428339165,38399,17.93482576143258,993,3.552137363620104,2.5860048438761427
60-69,17678,60.52658609237511,2299,77.27731092436974,13.004864803710827,11529,39.47341390762488,676,22.72268907563025,5.863474715933732,29252,13.662582962405946,2976,10.645680558039707,10.173663339258853
70-79,18355,58.11118850123472,5566,70.91349216460696,30.32416235358213,13231,41.88881149876528,2283,29.086507835393043,17.254931600030233,31627,14.771862141118994,7849,28.07726703630835,24.81740285199355
80-89,15784,41.547775730455385,6593,57.86378795857468,41.770146984287884,22206,58.452224269544615,4801,42.13621204142532,21.620282806448706,38042,17.76808358593761,11395,40.76193883026292,29.95373534514484
>=90,3632,21.407520924201343,1556,35.13208399187175,42.841409691629956,13334,78.59247907579866,2873,64.86791600812825,21.546422678866055,16978,7.929828166816906,4430,15.846896798426041,26.092590411120277
unknown,24,43.63636363636363,0,0.0,0.0,31,56.36363636363636,0,0.0,0.0,56,0.02615563537176032,0,0.0,0.0
