age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,1135,52.64378478664193,1,25.0,0.0881057268722467,1021,47.35621521335807,3,75.0,0.2938295788442703,2157,0.8998410572819544,4,0.011925347325740862,0.18544274455261936
10-19,1937,50.37711313394018,0,0.0,0.0,1908,49.622886866059815,0,0.0,0.0,3845,1.6040282175471092,0,0.0,0.0
20-29,6117,44.16287632661901,12,75.0,0.196174595389897,7734,55.83712367338099,4,25.0,0.0517196793379881,13856,5.780341998005915,16,0.04770138930296345,0.11547344110854503
30-39,8520,44.93433890617584,43,65.15151515151516,0.5046948356807511,10441,55.06566109382417,23,34.84848484848485,0.22028541327459056,18967,7.912510585751891,66,0.19676823087472423,0.3479727948542205
40-49,13127,41.9192080472617,211,72.26027397260275,1.6073741144206597,18188,58.08079195273831,81,27.73972602739726,0.445348581482296,31317,13.064590816364843,292,0.8705503547790829,0.9324009324009324
50-59,19800,46.12804025719877,889,75.98290598290598,4.48989898989899,23124,53.87195974280124,281,24.017094017094017,1.2151876837917317,42927,17.907963405629328,1170,3.4881640927792024,2.7255573415333005
60-69,19019,59.48828625942261,2590,76.2437444804239,13.617960986382037,12952,40.5117137405774,807,23.756255519576097,6.230697961704756,31972,13.33783879620707,3397,10.127601216385427,10.624921806580758
70-79,19472,57.10263929618768,6177,69.56864511769342,31.722473294987672,14628,42.89736070381232,2702,30.431354882306564,18.471424665025978,34100,14.225581851328068,8879,26.47128972631328,26.038123167155426
80-89,16763,40.458088962903965,7605,55.438110511736404,45.36777426474974,24670,59.54191103709603,6113,44.561889488263596,24.77908390758006,41440,17.28762791551423,13718,40.897978653628286,33.10328185328185
>=90,3869,20.26821729792027,1947,32.45,50.32308089945723,15220,79.73178270207974,4053,67.55,26.629434954007884,19090,7.963822801813866,6000,17.888020988611295,31.43006809848088
unknown,14,36.84210526315789,0,0.0,0.0,24,63.1578947368421,0,0.0,0.0,38,0.01585255455573216,0,0.0,0.0
