age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,596,53.45291479820627,0,0.0,0.0,519,46.54708520179372,1,100.0,0.1926782273603083,1123,0.7058143262081492,1,0.005001000200040008,0.08904719501335707
10-19,901,50.111234705228036,0,0.0,0.0,897,49.88876529477197,0,0.0,0.0,1804,1.1338281785213724,0,0.0,0.0
20-29,3350,43.57440166493236,5,71.42857142857143,0.1492537313432836,4338,56.42559833506764,2,28.57142857142857,0.04610419548178884,7737,4.862765308880188,7,0.035007001400280055,0.09047434406100556
30-39,5344,45.89882332732114,28,70.0,0.5239520958083832,6299,54.10117667267886,12,30.0,0.19050642959199873,11686,7.344742846009289,40,0.20004000800160032,0.3422899195618689
40-49,9009,44.030106055422515,133,74.71910112359551,1.4763014763014763,11452,55.969893944577485,45,25.280898876404496,0.3929444638491093,20519,12.896352768891376,178,0.8901780356071214,0.8674886690384522
50-59,14779,49.603947103443645,606,80.15873015873017,4.10041274781785,15015,50.396052896556355,150,19.841269841269842,0.999000999000999,29858,18.765987668675795,756,3.780756151230246,2.5319847277111664
60-69,14963,62.37962229541001,1776,77.89473684210526,11.86927755129319,9024,37.620377704589984,504,22.105263157894736,5.585106382978723,24040,15.10932894215842,2284,11.422284456891378,9.500831946755408
70-79,15577,60.67227545376645,4532,73.14396384764365,29.094177312704627,10097,39.32772454623355,1664,26.85603615235636,16.4801426166188,25717,16.163336622524465,6203,31.02120424084817,24.12023175331493
80-89,12332,46.25482915119463,4992,61.912439538633265,40.480051897502435,14329,53.745170848805365,3071,38.087560461366735,21.43206085560751,26706,16.784930895560848,8070,40.35807161432287,30.217928555380812
>=90,2470,25.19636845863511,970,39.543416225030576,39.27125506072874,7333,74.8036315413649,1483,60.45658377496943,20.223646529387697,9813,6.167547625183053,2455,12.27745549109822,25.017833486191787
unknown,49,47.57281553398058,2,100.0,4.081632653061225,54,52.42718446601942,0,0.0,0.0,104,0.06536481738704142,2,0.010002000400080016,1.9230769230769231
