age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,2006,51.58138338904603,1,25.0,0.049850448654037885,1883,48.418616610953976,3,75.0,0.15932023366967604,3889,1.3959431859379094,4,0.011245747701650313,0.10285420416559526
10-19,4473,53.180359053620265,0,0.0,0.0,3938,46.81964094637974,0,0.0,0.0,8411,3.0190995466504904,0,0.0,0.0
20-29,12087,51.06463878326997,12,80.0,0.09928021841648052,11583,48.93536121673004,3,20.0,0.0259000259000259,23674,8.49770094725998,15,0.04217155388118867,0.06336064881304385
30-39,12164,48.3542693591986,45,66.17647058823529,0.3699440973364025,12992,51.6457306408014,23,33.82352941176471,0.1770320197044335,25160,9.03109554080684,68,0.19117771092805533,0.2702702702702703
40-49,16089,43.92781084475509,223,71.47435897435898,1.3860401516564111,20537,56.072189155244914,89,28.525641025641026,0.4333641719822759,36627,13.147135785895554,312,0.8771683207287245,0.8518306167581292
50-59,22436,46.73290424712033,941,75.76489533011272,4.194152255303975,25573,53.26709575287967,301,24.235104669887278,1.1770226410667501,48011,17.233383466203385,1242,3.4918046613624223,2.586907167107538
60-69,20441,58.95195247159255,2716,76.03583426651736,13.287021182916686,14233,41.04804752840745,856,23.96416573348264,6.014192369844727,34675,12.44647209369941,3572,10.04245269757373,10.301369863013699
70-79,20369,56.78878108620498,6442,69.2762662651898,31.626491236683197,15499,43.21121891379502,2857,30.723733734810192,18.433447319181884,35868,12.874695344104122,9299,26.143551969411565,25.925616148098584
80-89,17264,40.417661656599705,7971,54.75716150305695,46.17122335495829,25450,59.58233834340029,6586,45.24283849694305,25.87819253438114,42721,15.334556144626749,14557,40.9260873232309,34.074576905971306
>=90,3950,20.221152861677076,2058,31.666410216956454,52.10126582278482,15584,79.77884713832293,4441,68.33358978304355,28.497176591375773,19534,7.011662173852179,6499,18.271528578256348,33.27019555646565
unknown,5,21.73913043478261,0,0.0,0.0,18,78.26086956521739,1,100.0,5.555555555555555,23,0.008255770963376681,1,0.0028114369254125782,4.3478260869565215
