age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,1103,52.573879885605336,1,25.0,0.09066183136899365,995,47.42612011439466,3,75.0,0.3015075376884422,2099,0.8816290185734327,4,0.012044927579872926,0.19056693663649357
10-19,1879,50.18696581196581,0,0.0,0.0,1865,49.81303418803419,0,0.0,0.0,3744,1.5725674347493719,0,0.0,0.0
20-29,6017,44.032199048664474,11,73.33333333333333,0.18281535648994515,7648,55.96780095133553,4,26.666666666666668,0.05230125523012552,13673,5.742979309649616,15,0.04516847842452347,0.10970525853872595
30-39,8399,44.79705584297829,42,64.61538461538461,0.5000595308965353,10350,55.202944157021705,23,35.38461538461539,0.2222222222222222,18755,7.877537991112306,65,0.19573007317293506,0.34657424686750204
40-49,12993,41.83867332152633,208,72.72727272727273,1.6008620026167937,18062,58.16132667847368,78,27.27272727272727,0.4318458642453771,31057,13.044665283389756,286,0.8612123219609142,0.9208874005860193
50-59,19728,46.20140515222482,883,76.18636755823987,4.475871857258719,22972,53.79859484777517,276,23.813632441760138,1.2014626501828312,42704,17.936677279256728,1159,3.4900177662681804,2.714031472461596
60-69,18927,59.563821752265866,2572,76.38847638847639,13.58905267607122,12849,40.43617824773414,795,23.61152361152361,6.18725192621994,31777,13.347082097764638,3367,10.138817790358036,10.595713881108978
70-79,19374,57.12516585581601,6154,69.69422423556058,31.764220088778778,14541,42.874834144183986,2676,30.305775764439414,18.403135960387868,33916,14.245512050470005,8830,26.589177632569484,26.034909777096356
80-89,16714,40.48051539150864,7550,55.56373270532823,45.171712336963026,24575,59.51948460849137,6038,44.43626729467177,24.569684638860632,41297,17.345704421165816,13588,40.91661898882833,32.903116449136746
>=90,3859,20.290236079709764,1923,32.6208651399491,49.83156258097953,15160,79.70976392029023,3972,67.3791348600509,26.200527704485488,19020,7.988844179736393,5895,17.751212020837727,30.993690851735018
unknown,16,40.0,0,0.0,0.0,24,60.0,0,0.0,0.0,40,0.016800934131937735,0,0.0,0.0
