date,age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
2020-07-07T11:00,0-9,1180,52.56124721603563,1,25.0,0.0847457627118644,1065,47.43875278396437,3,75.0,0.28169014084507044,2246,0.9286786383239128,4,0.011781685370092191,0.17809439002671415
2020-07-07T11:00,10-19,2008,50.2,0,0.0,0.0,1992,49.8,0,0.0,0.0,4000,1.6539245562313676,0,0.0,0.0
2020-07-07T11:00,20-29,6325,44.50777566673704,12,75.0,0.18972332015810275,7886,55.49222433326296,4,25.0,0.050722799898554397,14215,5.877634391707223,16,0.047126741480368765,0.11255715793176221
2020-07-07T11:00,30-39,8714,45.14090343970162,43,65.15151515151516,0.49345880192793207,10590,54.85909656029838,23,34.84848484848485,0.21718602455146363,19308,7.9834938329288105,66,0.19439780860652117,0.3418272218769422
2020-07-07T11:00,40-49,13345,42.14565437089439,214,71.81208053691275,1.6035968527538402,18319,57.85434562910561,84,28.187919463087248,0.45854031333588074,31665,13.092880268266564,298,0.8777355600718681,0.9411021632717511
2020-07-07T11:00,50-59,19966,46.18765614879245,895,76.10544217687075,4.482620454773114,23262,53.81234385120756,281,23.89455782312925,1.2079786776717394,43230,17.874789641470503,1176,3.4638154988071044,2.7203331020124915
2020-07-07T11:00,60-69,19138,59.473569719382205,2611,76.27811860940696,13.643013899049011,13041,40.526430280617795,812,23.721881390593047,6.226516371443908,32180,13.305823054881353,3423,10.082177255456394,10.637041640770665
2020-07-07T11:00,70-79,19548,57.0911214953271,6226,69.55647413696794,31.849805606711683,14692,42.9088785046729,2725,30.44352586303206,18.547508848352845,34240,14.157594201340507,8951,26.3644664369238,26.14193925233645
2020-07-07T11:00,80-89,16808,40.41453268893217,7660,55.18731988472623,45.573536411232745,24781,59.58546731106783,6220,44.81268011527377,25.099874904160448,41596,17.19916146024999,13880,40.8824482342199,33.36859313395519
2020-07-07T11:00,>=90,3860,20.200962947456564,1968,32.07301173402868,50.984455958549226,15248,79.79903705254344,4168,67.92698826597132,27.33473242392445,19108,7.900797605117242,6136,18.073105357721424,32.112204312329915
2020-07-07T11:00,unknown,22,36.666666666666664,1,100.0,4.545454545454546,38,63.33333333333333,0,0.0,0.0,61,0.025222349482528356,1,0.002945421342523048,1.639344262295082
