age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,1467,52.69396551724138,1,25.0,0.0681663258350375,1317,47.30603448275862,3,75.0,0.22779043280182232,2784,1.1092826718411941,4,0.011222085063404781,0.14367816091954022
10-19,2597,52.31668009669621,0,0.0,0.0,2367,47.68331990330379,0,0.0,0.0,4964,1.9779020053950027,0,0.0,0.0
20-29,7421,46.65241717482869,12,75.0,0.16170327449130845,8486,53.347582825171315,4,25.0,0.047136460051850106,15911,6.339725787236077,16,0.044888340253619124,0.1005593614480548
30-39,9658,46.33689967854915,44,65.67164179104478,0.45558086560364464,11185,53.663100321450855,23,34.32835820895522,0.2056325435851587,20847,8.306471214034977,67,0.18796992481203006,0.3213891687053293
40-49,14179,42.86146126175146,224,71.56549520766772,1.5798011143240003,18902,57.13853873824854,89,28.434504792332266,0.4708496455401545,33082,13.181497611296834,313,0.878128156211424,0.9461338492231426
50-59,20564,46.32574904257716,935,75.83130575831306,4.546780781949037,23826,53.67425095742284,298,24.168694241686943,1.2507344917317218,44392,17.687958465651686,1233,3.4592077207945238,2.7775274824292664
60-69,19516,59.34440187313751,2721,75.96314907872697,13.942406230784998,13370,40.65559812686249,861,24.036850921273032,6.439790575916231,32887,13.10380001035968,3582,10.04937717427898,10.891841761182231
70-79,19819,56.97079452684834,6423,69.17609046849758,32.408295070387,14969,43.02920547315166,2862,30.823909531502423,19.11951366156724,34788,13.861252007188025,9285,26.04926495342835,26.69023801310797
80-89,16976,40.4151985525188,7990,54.692312957765765,47.06644674835061,25028,59.5848014474812,6619,45.30768704223424,26.44638005433914,42011,16.73925083574727,14609,40.98586017282011,34.77422579800528
>=90,3895,20.195997096339312,2062,31.55317521040551,52.93966623876764,15391,79.80400290366069,4473,68.4468247895945,29.062439087778575,19286,7.684491957302179,6535,18.33408147233756,33.884683189878665
unknown,5,23.809523809523807,0,0.0,0.0,16,76.19047619047619,0,0.0,0.0,21,0.008367433947077972,0,0.0,0.0
