age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,1066,52.66798418972331,1,25.0,0.09380863039399624,958,47.33201581027668,3,75.0,0.31315240083507306,2025,0.8586803037820097,4,0.012185833968012186,0.19753086419753088
10-19,1837,50.314982196658455,0,0.0,0.0,1814,49.68501780334155,0,0.0,0.0,3651,1.5481687847447494,0,0.0,0.0
20-29,5901,43.97823818750932,11,73.33333333333333,0.18640908320623623,7517,56.02176181249069,4,26.666666666666668,0.053212717839563654,13426,5.693156423988771,15,0.04569687738004569,0.11172352152539848
30-39,8290,44.83747092866028,41,64.0625,0.4945717732207479,10199,55.16252907133972,23,35.9375,0.22551230512795373,18495,7.842613441209021,64,0.19497334348819498,0.3460394701270614
40-49,12836,41.79882119248429,205,72.69503546099291,1.597070738547834,17873,58.20117880751571,77,27.30496453900709,0.43081743411850276,30711,13.02268188120953,282,0.8591012947448591,0.9182377649702061
50-59,19567,46.23472980317101,876,76.64041994750657,4.476925435682526,22754,53.76527019682899,267,23.35958005249344,1.1734200580117782,42325,17.947478448184473,1143,3.482102056359482,2.7005316007088007
60-69,18782,59.66706906410827,2552,76.36146020347098,13.58747737195187,12696,40.33293093589174,790,23.638539796529024,6.2224322621298045,31479,13.348344337162413,3342,10.181264280274181,10.6166015438864
70-79,19272,57.236197321136885,6115,69.80593607305936,31.72997094229971,14399,42.763802678863115,2645,30.19406392694064,18.369331203555802,33672,14.278263303184113,8760,26.686976389946686,26.01568068424804
80-89,16638,40.50639074863056,7493,55.80546659715498,45.0354609929078,24437,59.49360925136945,5934,44.19453340284502,24.28284977697753,41083,17.420821195198176,13427,40.904798172124906,32.682618114548596
>=90,3850,20.355292376017765,1910,32.99930891499655,49.61038961038961,15064,79.64470762398224,3878,67.00069108500347,25.743494423791823,18915,8.020710096808253,5788,17.632901751713632,30.600052868094107
unknown,18,40.909090909090914,0,0.0,0.0,26,59.09090909090909,0,0.0,0.0,45,0.019081784528489104,0,0.0,0.0
