age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,1015,52.919708029197075,1,25.0,0.09852216748768472,903,47.08029197080292,3,75.0,0.33222591362126247,1919,0.8314161803380256,4,0.012627857052658164,0.20844189682126105
10-19,1724,50.087158628704245,0,0.0,0.0,1718,49.912841371295755,0,0.0,0.0,3442,1.4912634146552808,0,0.0,0.0
20-29,5685,43.984526112185684,9,75.0,0.15831134564643798,7240,56.015473887814316,3,25.0,0.04143646408839779,12933,5.603285805269246,12,0.03788357115797449,0.09278589654372535
30-39,8026,44.76796073181615,41,66.12903225806451,0.5108397707450785,9902,55.23203926818384,21,33.87096774193548,0.21207836800646332,17934,7.769993631152762,62,0.19573178431620156,0.34571205531392885
40-49,12513,41.793587174348694,200,73.26007326007326,1.5983377287620875,17427,58.2064128256513,73,26.73992673992674,0.41889022780742524,29942,12.972518640792682,273,0.8618512438439196,0.9117627412998464
50-59,19210,46.36624749583645,859,77.45716862037872,4.471629359708485,22221,53.633752504163546,250,22.54283137962128,1.1250618784033122,41435,17.951917369622766,1109,3.501073367849476,2.676481235670327
60-69,18494,59.8918358755141,2490,76.40380484811293,13.463826105764031,12385,40.108164124485896,769,23.59619515188708,6.209123940250303,30880,13.378911750306527,3259,10.28854653365324,10.553756476683938
70-79,19033,57.4321062160531,5999,70.06540527914039,31.518940787054063,14107,42.56789378394689,2563,29.934594720859614,18.16828524845821,33141,14.358501111298855,8562,27.0299280212148,25.835068344346883
80-89,16497,40.709209357417826,7323,56.4175654853621,44.38988907074013,24027,59.29079064258217,5657,43.5824345146379,23.54434594414617,40532,17.560688182105704,12980,40.97739613587574,32.024079739465115
>=90,3818,20.525778183968605,1822,33.64727608494921,47.72132006286014,14783,79.4742218160314,3593,66.35272391505079,24.304944869106407,18602,8.059407913834264,5415,17.094961485035988,29.10977314267283
unknown,20,40.0,0,0.0,0.0,30,60.0,0,0.0,0.0,51,0.02209600062388708,0,0.0,0.0
