date,age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
2020-11-07T11:00,0-9,15184,51.93596935285265,1,25.0,0.006585879873551106,14052,48.064030647147355,3,75.0,0.02134927412467976,29237,3.46172471728518,4,0.00994727941907888,0.013681294250436092
2020-11-07T11:00,10-19,39205,53.57191659151157,0,0.0,0.0,33977,46.428083408488426,0,0.0,0.0,73182,8.664908788875877,0,0.0,0.0
2020-11-07T11:00,20-29,54281,51.75533943554539,10,76.92307692307693,0.018422652493506015,50599,48.24466056445462,3,23.076923076923077,0.005928970928279215,104884,12.418494895089744,13,0.032328658112006366,0.012394645513138323
2020-11-07T11:00,30-39,50941,50.30365272003713,56,69.1358024691358,0.1099310967589957,50326,49.69634727996287,25,30.864197530864196,0.049676111751380994,101273,11.99094460080111,81,0.20143240823634737,0.07998183128770749
2020-11-07T11:00,40-49,60095,46.8128033153389,253,72.28571428571429,0.42100008320159743,68278,53.18719668466111,97,27.714285714285715,0.1420662585312985,128375,15.19988065059633,350,0.8703869491694022,0.2726387536514119
2020-11-07T11:00,50-59,71266,48.51129293561869,1051,75.72046109510086,1.474756545898465,75640,51.4887070643813,337,24.279538904899137,0.44553146483342143,146908,17.394228367032568,1388,3.4517059584203724,0.9448089961064067
2020-11-07T11:00,60-69,50769,55.86500583199454,3028,76.06129113288118,5.964269534558491,40109,44.13499416800546,953,23.938708867118812,2.376025330973098,90879,10.760272277667335,3981,9.900029841838258,4.380549962037435
2020-11-07T11:00,70-79,39516,54.88714494062088,7130,69.06906906906907,18.043324223099503,32479,45.11285505937913,3193,30.930930930930934,9.83096770220758,71995,8.524365393882633,10323,25.67144136078782,14.33849572887006
2020-11-07T11:00,80-89,28672,41.35404497137005,9082,54.932559124175896,31.675502232142854,40661,58.64595502862995,7451,45.06744087582411,18.324684587196575,69340,8.210007589580135,16533,41.11459265890779,23.84338044418806
2020-11-07T11:00,>=90,6278,22.1056338028169,2481,32.926343729263436,39.518955081236065,22122,77.89436619718309,5054,67.07365627073656,22.846035620649126,28400,3.362622087454223,7535,18.738187605689845,26.531690140845072
2020-11-07T11:00,unknown,50,47.16981132075472,1,25.0,2.0,56,52.83018867924528,3,75.0,5.357142857142857,106,0.012550631734864351,4,0.00994727941907888,3.7735849056603774
