age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,244,57.54716981132076,0,0.0,0.0,180,42.45283018867924,0,0.0,0.0,428,0.5801030089455137,0,0.0,0.0
10-19,261,51.17647058823529,0,0.0,0.0,249,48.8235294117647,0,0.0,0.0,512,0.6939550013553808,0,0.0,0.0
20-29,1203,44.342056763730184,0,0.0,0.0,1510,55.657943236269816,0,0.0,0.0,2778,3.7652480346977497,0,0.0,0.0
30-39,2465,49.707602339181285,14,82.35294117647058,0.5679513184584178,2494,50.29239766081871,3,17.647058823529413,0.12028869286287089,5033,6.821631878557875,17,0.2499632406998971,0.337770713292271
40-49,4597,50.14726737209556,49,73.13432835820896,1.0659125516641288,4570,49.85273262790444,18,26.865671641791046,0.39387308533916854,9295,12.598265112496613,67,0.9851492427584178,0.720817643894567
50-59,7998,55.79351238228113,190,78.51239669421489,2.375593898474619,6337,44.20648761771887,52,21.487603305785125,0.8205775603597917,14508,19.66386554621849,243,3.573003970004411,1.6749379652605458
60-69,8755,66.58301011483762,606,79.73684210526316,6.92175899486008,4394,33.416989885162366,154,20.263157894736842,3.504779244424215,13243,17.949308755760367,761,11.189530951330687,5.7464320773238695
70-79,9309,66.06813342796309,1846,76.88463140358184,19.83027177999785,4781,33.93186657203691,555,23.115368596418158,11.608450115038695,14198,19.2436974789916,2403,35.33303925893251,16.924919002676432
80-89,6195,56.68405160581938,1808,66.91339748334568,29.184826472962065,4734,43.31594839418062,894,33.08660251665433,18.88466413181242,11001,14.910544863106534,2702,39.72945155124246,24.561403508771928
>=90,887,35.100910170162244,273,44.97528830313015,30.777903043968436,1640,64.89908982983775,334,55.02471169686986,20.365853658536583,2538,3.4399566278124154,608,8.939861785031614,23.955870764381405
unknown,135,56.016597510373444,0,0.0,0.0,106,43.983402489626556,0,0.0,0.0,246,0.33342369205746814,0,0.0,0.0
