date,age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
2020-03-19,0-9,118,58.41584158415842,0,0.0,0.0,84,41.58415841584159,0,0.0,0.0,205,0.5737314936609667,0,0.0,0.0
2020-03-19,10-19,150,56.17977528089889,0,0.0,0.0,117,43.820224719101134,0,0.0,0.0,270,0.7556463575046879,0,0.0,0.0
2020-03-19,20-29,603,45.1685393258427,0,0.0,0.0,732,54.8314606741573,0,0.0,0.0,1374,3.845400352634967,0,0.0,0.0
2020-03-19,30-39,1261,51.1977263499797,7,77.7777777777778,0.5551149881046789,1202,48.8022736500203,2,22.222222222222218,0.16638935108153075,2525,7.066692787775321,9,0.2953724975385625,0.3564356435643565
2020-03-19,40-49,2186,50.731028080761206,16,64.0,0.7319304666056725,2123,49.268971919238794,9,36.0,0.4239284032030146,4396,12.303042176261512,25,0.8204791598293404,0.5686988171064604
2020-03-19,50-59,3775,56.33487539173258,63,76.82926829268294,1.6688741721854303,2926,43.66512460826743,19,23.170731707317074,0.6493506493506493,6834,19.12624891550755,83,2.7239908106334103,1.2145156570090725
2020-03-19,60-69,4221,67.57925072046109,252,81.55339805825244,5.970149253731343,2025,32.42074927953891,57,18.446601941747574,2.814814814814815,6337,17.73529987965632,312,10.239579914670168,4.92346536215875
2020-03-19,70-79,4702,67.24828375286042,837,77.2853185595568,17.80093577201191,2290,32.75171624713959,246,22.71468144044321,10.742358078602619,7121,19.92947300663289,1090,35.77289136855924,15.306838927116976
2020-03-19,80-89,3158,60.06085964244961,835,67.50202101859337,26.44078530715643,2100,39.9391403575504,402,32.497978981406625,19.142857142857142,5352,14.978590019870698,1243,40.79422382671481,23.22496263079223
2020-03-19,>=90,397,36.38863428047663,129,45.42253521126761,32.49370277078086,694,63.61136571952336,155,54.57746478873239,22.334293948126803,1115,3.1205395874730626,285,9.35346242205448,25.560538116591932
2020-03-19,unknown,115,57.49999999999999,0,0.0,0.0,85,42.5,0,0.0,0.0,202,0.5653354230220257,0,0.0,0.0
2020-03-23,0-9,181,57.278481012658226,0,0.0,0.0,135,42.721518987341774,0,0.0,0.0,318,0.5483798651468381,0,0.0,0.0
2020-03-23,10-19,200,52.08333333333334,0,0.0,0.0,184,47.91666666666667,0,0.0,0.0,386,0.6656434841090552,0,0.0,0.0
